ID,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,back_order
20,0,12,0,5,8,10,3,3,6,8,0,0,0,0.87,0.67,0,0,0,0,1,0,1
21,27,2,0,0,0,0,0,0,0,0,1,0,0,0.99,0.99,0,0,0,0,1,0,0
22,-1,8,0,5,9,11,2,5,8,15,1,0,0,0.95,0.95,1,0,0,0,1,0,1
23,48,8,18,27,57,87,11,27,51,72,18,0,0,0.57,0.68,0,0,0,0,1,0,0
24,12,2,5,7,12,18,7,17,19,19,2,0,0,1,0.91,0,1,0,1,1,0,1
25,28612,9,0,0,0,0,0,0,0,0,0,0,0,0.98,0.89,0,0,0,1,1,0,0
26,12,12,0,13,29,61,8,23,41,59,0,0,0,0.78,0.78,0,0,0,0,1,0,1
27,4,8,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1
28,993,12,0,0,0,0,12,34,36,65,26,0,0,-99,-99,0,0,0,0,1,0,0
29,64,2,0,0,0,0,0,0,0,0,0,0,0,0.47,0.72,0,0,0,0,1,0,0
30,0,2,0,12,21,27,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
31,31,2,0,36,72,144,4,26,70,94,7,0,0,1,1,0,0,0,0,1,0,0
32,16,2,0,4,4,4,0,0,0,0,0,0,0,0.78,0.76,0,1,0,0,1,0,0
33,0,2,0,4,28,28,0,0,0,0,0,0,0,0.95,0.93,0,0,0,0,1,0,0
34,162,8,1,0,0,0,8,34,74,136,24,0,0,0.85,0.9,0,0,0,0,1,0,0
35,2,8,0,0,0,0,0,1,1,1,1,0,0,0.42,0.36,0,0,0,0,1,0,0
36,3,2,0,17,33,49,5,13,28,38,0,0,0,0.91,0.89,0,0,0,0,1,0,1
37,320,8,118,209,457,581,21,159,353,604,162,0,0,0.76,0.81,0,0,0,0,1,0,0
38,1621,8,0,0,0,0,20,87,189,286,108,0,0,1,1,0,0,0,0,1,0,0
39,5,12,0,0,0,0,0,0,0,0,0,0,0,0.57,0.68,0,0,0,0,1,0,0
40,25,2,0,0,0,0,0,0,1,1,0,0,0,0.9,0.78,0,0,0,0,1,0,0
41,0,8,0,3,4,5,1,3,4,4,0,0,0,0.98,0.96,0,0,0,0,1,0,1
42,0,2,10,30,50,60,12,27,39,63,4,0,0,0.99,0.98,0,0,0,0,1,0,1
43,42,5,29,1,1,1,1,2,3,3,0,0,0,0.65,0.71,0,1,0,0,1,0,0
44,9,12,0,0,0,0,0,0,0,0,0,0,0,0.89,0.93,0,0,0,0,1,0,0
45,2,9,0,0,0,0,0,0,1,4,1,0,0,0.95,0.9,0,1,0,0,1,0,0
46,1,12,0,0,0,0,0,1,2,4,0,0,0,0.82,0.79,0,1,0,0,1,0,0
47,2,9,0,0,0,1,0,1,1,1,0,0,0,0.98,0.98,0,0,0,1,1,0,0
48,257,52,0,0,0,0,4,9,14,26,0,0,0,0.79,0.66,0,1,0,0,1,0,0
49,97,8,0,0,0,0,19,43,43,43,0,0,0,0.88,0.92,0,0,0,0,1,0,1
50,4,8,0,1,4,7,3,5,11,18,2,0,0,0.74,0.76,0,0,0,0,1,0,0
51,63,8,5,30,30,60,9,21,42,71,18,0,0,0.97,0.97,0,0,0,0,1,0,0
52,3,3,0,4,8,11,2,5,5,5,1,0,0,0.75,0.64,0,1,0,0,1,0,0
53,135,17,0,0,0,0,2,7,27,55,0,0,0,0.99,0.99,0,0,0,1,1,0,0
54,6,2,0,3,4,4,0,3,3,3,0,0,0,0.95,0.93,0,1,0,0,1,0,0
55,11,52,0,0,0,0,1,1,2,3,2,0,0,0,0,0,1,0,0,1,0,0
56,20,8,0,0,0,0,0,0,1,1,0,0,0,0,0.07,0,0,0,0,1,0,0
57,9834,8,25,0,0,0,27,100,180,318,41,0,0,0.66,0.73,0,0,0,0,1,0,0
58,431,8,125,120,240,360,18,113,373,587,48,0,0,1,0.98,0,0,0,0,1,0,0
59,185,2,0,0,0,0,9,13,24,37,0,0,0,0.85,0.74,0,0,0,0,1,0,0
60,729,8,1086,1867,2497,3274,517,1595,2969,4272,253,0,81,0,0,0,0,0,0,1,0,0
61,5,8,0,1,5,7,0,7,10,10,0,0,0,0.78,0.86,0,0,0,0,1,0,0
62,18,52,0,0,0,0,0,0,0,0,0,0,0,0.78,0.78,0,1,0,0,0,0,0
63,4,8,1,3,6,10,2,3,8,13,0,0,0,0.99,0.95,0,0,0,0,1,0,0
64,25,8,16,8,40,64,3,18,48,68,11,0,0,1,1,0,0,0,0,1,0,0
65,1,8,0,2,3,3,0,1,1,1,0,0,0,0.33,0.21,0,0,0,0,1,0,0
66,10,9,0,0,0,0,1,3,3,5,0,0,0,0.91,0.77,0,1,0,1,1,0,0
67,57440,4,0,45000,99000,151500,827,2605,5154,9916,1206,0,0,0.97,0.91,22,0,0,0,1,0,0
68,5,2,0,0,0,0,0,0,1,4,0,0,0,0.99,0.98,0,0,0,0,1,0,0
69,3019,2,0,0,0,0,3,10,20,27,2,0,0,0.78,0.86,0,0,0,0,1,0,0
70,85,8,0,0,0,0,1,8,19,31,6,0,0,0.75,0.72,0,1,0,0,1,0,0
71,70,4,0,12,24,42,21,83,157,247,7,0,0,0.73,0.78,0,0,0,0,1,0,0
72,8,8,0,0,0,0,0,0,0,3,1,0,0,0.12,0.65,0,0,0,1,1,0,0
73,6,8,0,0,0,0,0,0,0,0,0,0,0,0.82,0.81,0,0,0,0,1,0,0
74,105,8,18,108,229,356,45,132,281,465,39,0,0,0.97,0.98,0,0,0,0,1,0,0
75,8,8,0,0,0,7,2,4,7,12,0,0,0,1,0.75,0,0,0,0,1,0,0
76,13,12,0,0,0,0,0,0,0,0,1,0,0,0.58,0.58,0,1,0,0,1,0,0
77,9,2,0,0,0,0,0,0,0,0,0,0,0,0.95,0.89,0,0,0,0,1,0,0
78,81,8,4,2,31,57,4,24,83,128,18,0,0,0.94,0.87,0,0,0,0,1,0,0
79,9,0,0,480,660,660,38,133,253,368,28,0,0,0,0,0,0,0,0,1,0,1
80,446,8,1,0,0,0,11,26,71,120,20,0,0,0.91,0.74,0,0,0,0,1,0,0
81,5,8,0,0,1,3,1,2,8,11,0,0,0,0.83,0.85,0,0,0,0,1,0,0
82,2,10,0,0,0,0,0,0,0,0,1,0,0,0.89,0.9,0,0,0,1,1,0,0
83,43,8,0,7,67,109,5,47,132,209,15,0,0,0.81,0.54,0,0,0,0,1,0,0
84,49,8,215,1000,1800,2400,481,884,1358,2116,269,0,200,0,0,6,0,0,1,1,0,1
85,5,8,0,0,0,0,0,0,0,0,0,0,0,0.98,0.97,0,0,0,0,1,0,0
86,2,2,0,0,8,8,0,1,2,3,0,0,0,0.98,0.98,0,0,0,0,1,0,1
87,0,8,0,2,3,4,2,3,3,5,0,0,0,0.81,0.75,0,0,0,1,1,0,0
88,6,9,0,0,0,0,0,0,0,0,0,0,0,0.86,0.84,0,0,0,0,1,0,0
89,1,8,0,0,0,0,0,0,0,0,0,0,0,0.82,0.84,0,0,0,0,1,0,0
90,0,8,0,70,100,100,0,0,0,0,13,0,0,0.81,0.87,0,0,0,1,1,0,1
91,24,8,0,0,0,0,0,1,3,5,0,0,0,0.98,0.99,0,0,0,0,1,0,0
92,85,8,30,370,505,595,58,201,349,554,109,0,45,0.58,0.47,0,0,0,0,1,0,1
93,7,12,16,168,248,312,28,114,206,325,32,0,12,0.63,0.72,1,0,0,0,1,0,1
94,90,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0
95,1,8,0,0,0,10,2,7,16,26,4,0,0,0.99,0.99,0,0,0,0,1,0,1
96,131,2,0,0,0,0,0,4,8,16,0,0,0,0.38,0.47,0,0,0,0,1,0,0
97,0,8,0,10,20,20,1,6,10,15,1,0,0,0.45,0.41,0,1,0,0,0,0,1
98,2,8,0,0,1,2,0,1,2,8,0,0,0,0.48,0.53,0,0,0,0,1,0,0
99,1356,2,404,2580,5040,7260,851,2562,4935,7630,618,0,0,1,0.99,0,0,0,0,1,0,0
100,14,8,0,0,0,0,0,0,0,0,1,0,0,0.82,0.89,0,0,0,0,1,0,0
101,12,2,0,0,0,0,0,0,0,0,0,0,0,0.54,0.56,0,1,0,0,1,0,0
102,40,8,0,0,0,0,2,4,15,22,2,0,0,-99,-99,0,0,0,0,1,0,0
103,6,8,0,4,8,12,1,3,12,15,1,0,0,0.95,0.89,0,0,0,0,1,0,0
104,123,8,0,0,0,0,1,44,92,96,6,0,0,0.82,0.77,0,0,0,0,1,0,0
105,2,8,0,0,0,0,0,0,0,0,0,0,0,0.74,0.84,0,0,0,0,1,0,0
106,7,8,0,0,0,0,0,0,0,0,0,0,0,0.98,0.97,0,0,0,0,1,0,0
107,10,4,0,0,0,0,2,5,5,7,1,0,0,0.73,0.78,0,0,0,0,1,0,0
108,0,12,0,2,2,2,0,0,0,0,0,0,0,0.63,0.72,0,1,0,0,1,0,0
109,8,2,0,0,0,0,0,0,0,0,0,0,0,0.97,0.99,0,1,0,0,0,0,0
110,5,8,0,31,31,31,120,128,134,137,3,0,0,0.98,0.96,20,0,0,0,1,0,0
111,0,2,0,30,30,30,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
112,8,4,0,0,0,0,0,0,3,3,0,0,0,0.77,0.8,0,0,0,0,1,0,0
113,0,3,0,10,16,18,0,0,0,0,0,0,0,0.03,0.1,0,1,0,1,1,0,0
114,5666,52,0,0,0,0,0,6,22,38,5,0,0,0.41,0.46,0,1,0,0,1,0,0
115,2,8,0,0,0,0,0,0,0,0,0,0,0,0.99,0.98,0,0,0,0,1,0,0
116,3,8,0,0,1,3,0,1,3,6,1,0,0,0.98,0.98,0,0,0,0,1,0,0
117,42,2,0,0,0,0,0,2,3,3,0,0,0,0.98,0.93,0,1,0,1,1,0,0
118,3,4,1,0,1,1,0,0,3,4,0,0,0,0.73,0.78,0,0,0,0,1,0,0
119,2,8,0,7,7,21,2,9,17,21,0,0,0,0.84,0.77,0,0,0,0,1,0,0
120,9,8,0,0,6,10,1,2,11,16,0,0,0,0.91,0.95,0,0,0,0,1,0,0
121,11806,4,340,0,8760,17520,1413,4477,8358,12305,2467,0,0,0.98,0.96,0,0,0,0,1,0,0
122,31,2,18,35,84,133,8,27,63,83,7,0,0,0.76,0.71,0,0,0,1,1,0,0
123,0,12,0,0,0,0,0,0,0,0,0,0,0,0.78,0.78,0,0,0,0,1,0,0
124,0,12,0,12,12,12,0,0,0,0,3,0,0,0.82,0.79,0,1,0,0,1,0,1
125,0,8,0,24,24,36,2,9,19,29,0,0,0,0,0,0,0,0,0,1,0,1
126,-4,8,3,8,12,16,12,14,19,24,0,0,0,0.91,0.89,4,0,0,0,1,0,1
127,70,8,33,60,140,200,25,81,171,258,33,0,0,0.97,0.98,0,0,0,0,1,0,0
128,0,8,0,24,24,36,8,13,26,38,1,0,0,0.5,0.35,0,0,0,0,1,0,1
129,9,12,1,0,0,0,0,0,0,0,1,0,0,0.58,0.58,0,1,0,0,1,0,0
130,3,8,0,0,0,0,0,0,0,2,0,0,0,0.8,0.82,0,0,0,0,1,0,0
131,7,2,0,0,0,0,0,0,0,0,0,0,0,0.51,0.47,0,0,0,0,1,0,0
132,5,9,0,0,0,0,0,1,1,1,0,0,0,0.85,0.83,0,0,0,0,1,0,0
133,5,8,0,0,0,0,0,0,0,0,0,0,0,0.82,0.81,0,0,0,0,1,0,0
134,4,2,1,9,23,33,4,12,24,32,0,0,0,0.95,0.96,0,0,0,0,1,0,0
135,80,9,0,0,0,0,0,0,0,0,0,0,0,0.86,0.84,0,0,0,0,1,0,0
136,7,9,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0
137,3,8,0,0,0,1,1,2,5,5,1,0,0,0.6,0.54,0,0,0,1,1,0,0
138,10,4,0,0,0,1,1,1,7,12,0,0,0,0.73,0.78,0,0,0,0,1,0,0
139,37,8,0,0,0,0,0,0,0,1,0,0,0,0.73,0.82,0,0,0,0,1,0,0
140,2,8,0,9,9,18,8,14,23,27,4,0,0,0.88,0.92,0,0,0,0,1,0,1
141,257,4,0,0,0,0,1,3,5,9,0,0,0,0.94,0.92,0,0,0,0,1,0,0
142,36,2,0,0,0,0,1,2,2,2,1,0,0,0.81,0.87,0,0,0,1,1,0,0
143,128,8,28,0,56,140,20,83,196,297,37,0,0,0.97,0.97,0,0,0,0,1,0,0
144,12,8,0,0,5,10,1,3,8,10,0,0,0,0.14,0.12,0,0,0,0,1,0,0
145,0,8,0,9,9,11,0,4,8,10,1,0,0,0.08,0.03,0,0,0,0,1,0,1
146,55,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
147,0,2,0,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
148,46,4,9,162,277,415,32,104,171,231,21,0,0,0.82,0.78,0,0,0,1,1,0,0
149,3,2,0,0,1,2,0,0,3,6,1,0,0,0.91,0.86,0,0,0,1,1,0,1
150,54,8,0,0,0,0,0,0,0,0,0,0,0,0.88,0.91,0,0,0,0,1,0,0
151,6,8,0,0,0,1,2,3,8,10,0,0,0,0.75,0.74,0,0,0,0,1,0,0
152,155,8,15,324,572,820,82,229,1012,1346,42,0,0,0.77,0.74,0,0,0,0,1,0,0
153,127,8,108,94,282,470,40,184,369,564,34,0,0,0.99,0.98,0,0,0,0,1,0,0
154,0,4,5,4,4,4,0,0,0,0,0,0,0,0.73,0.78,0,1,0,0,1,0,0
155,3,8,0,0,0,0,0,0,0,0,0,0,0,0.8,0.82,0,0,0,0,1,0,0
156,113,4,28,0,0,0,8,43,117,212,0,0,0,0.73,0.78,0,0,0,0,1,0,0
157,2,2,0,0,0,1,0,0,1,2,0,0,0,0.83,0.66,0,0,0,0,1,0,1
158,78,2,24,168,264,384,55,155,250,357,77,0,0,1,0.99,0,0,0,0,1,0,0
159,1,8,0,0,0,10,1,4,16,22,4,0,0,0.98,0.99,0,0,0,0,1,0,1
160,1099,8,259,4150,8850,12300,1010,3407,7455,11865,1658,0,0,0.95,0.95,0,0,0,0,1,0,0
161,8,2,0,0,7,14,2,11,19,30,1,0,0,0.99,0.97,0,0,0,0,1,0,1
162,-1,4,41,297,514,744,92,123,126,126,46,0,0,0.91,0.92,6,0,0,1,1,0,0
163,4,8,0,0,4,5,2,4,6,11,0,0,0,0.43,0.46,0,0,0,0,1,0,0
164,36,2,0,0,0,0,0,1,2,2,0,0,0,0.99,0.9,0,0,0,0,1,0,0
165,145,2,0,0,0,0,2,3,8,24,0,0,0,0.97,0.98,0,0,0,0,1,0,0
166,2,2,0,12,24,24,3,12,16,27,1,0,0,0.98,0.99,0,0,0,0,1,0,1
167,209,8,0,0,0,0,0,32,33,83,1,0,0,-99,-99,0,0,0,0,1,0,0
168,2,8,0,0,0,0,0,0,0,0,1,0,0,0.96,0.97,0,1,0,0,1,0,0
169,1,12,0,2,3,4,0,1,3,5,0,0,0,0.62,0.73,0,0,0,0,1,0,0
170,68,9,0,0,0,0,1,1,1,1,0,0,0,0.85,0.82,0,0,0,0,1,0,0
171,7,8,0,7,12,18,3,8,17,26,0,0,0,0.99,0.99,0,0,0,1,1,0,0
172,25,2,0,778,1300,1938,122,153,153,153,80,0,80,0.54,0.65,5,0,0,0,1,0,1
173,9,8,0,0,0,0,0,0,0,0,1,0,0,0.84,0.82,0,0,0,0,1,0,0
174,3,4,0,0,0,0,0,0,0,0,0,0,0,0.77,0.8,0,0,0,0,1,0,0
175,114,8,96,24,46,68,14,66,134,237,70,0,0,0.79,0.83,0,0,0,0,1,0,0
176,10,8,0,0,0,0,1,3,9,11,0,0,0,0.98,0.96,0,0,0,0,1,0,0
177,19,8,0,21,33,53,10,26,47,76,11,0,0,0.86,0.88,0,0,0,1,1,0,0
178,0,9,0,0,0,0,0,0,0,0,0,0,0,0.92,0.83,0,0,0,0,1,0,0
179,9,8,0,0,0,0,1,1,1,2,2,0,0,0.94,0.97,0,0,0,1,1,0,0
180,10592,4,2416,14400,28800,43200,3913,12082,23990,35152,3083,0,0,0.98,0.96,0,0,0,0,1,0,0
181,13,12,0,0,0,0,0,0,0,0,1,0,0,0.48,0.48,0,1,0,0,1,0,0
182,8,8,0,0,1,4,0,2,5,6,2,0,0,1,1,0,0,0,0,1,0,0
183,0,8,0,2,3,5,1,2,3,3,1,0,0,0.81,0.82,0,0,0,0,1,0,1
184,31,4,41,41,41,69,24,58,100,140,13,0,41,0.77,0.8,0,0,0,0,1,0,1
185,2,2,0,70,100,130,14,39,65,99,27,0,0,0.05,0.32,0,0,0,0,1,0,1
186,0,8,0,2,2,3,2,2,3,6,0,0,0,0.96,0.97,0,0,0,0,1,0,1
187,1,8,0,0,0,0,0,0,0,0,0,0,0,0.8,0.83,0,0,0,0,1,0,0
188,8,2,0,12,24,36,10,18,35,45,0,0,0,0.82,0.75,0,0,0,0,1,0,1
189,2,8,0,5,5,10,1,4,10,18,1,0,0,0.95,0.9,0,0,0,0,1,0,1
190,4,9,0,0,0,0,0,0,0,1,1,0,0,0.68,0.66,0,0,0,0,1,0,0
191,2,10,0,0,0,0,0,0,0,0,1,0,0,0.89,0.9,0,0,0,0,1,0,0
192,12,9,0,60,120,165,20,53,85,129,0,0,0,0.99,0.85,0,0,0,0,1,0,0
193,3,8,0,0,0,0,0,0,0,1,0,0,0,0.83,0.85,0,0,0,0,1,0,0
194,18,4,0,0,0,0,0,0,0,0,2,0,0,0.73,0.78,0,0,0,0,1,0,0
195,186,8,85,185,465,745,74,270,572,846,54,0,0,0.99,0.99,0,0,0,0,1,0,0
196,2,10,0,0,2,3,1,2,2,2,0,0,0,0.89,0.9,0,0,0,0,1,0,1
197,18,9,0,0,0,0,1,1,1,2,0,0,0,0.85,0.82,0,0,0,0,1,0,0
198,57,12,16,308,536,788,91,229,419,565,42,0,0,0.66,0.67,0,0,0,0,1,0,0
199,298,8,39,144,316,452,42,198,447,697,86,0,0,0.97,0.96,0,0,0,0,1,0,0
200,228,8,0,48,204,324,44,136,469,593,31,0,0,0.8,0.86,0,0,0,0,1,0,0
201,9,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0
202,167,12,14,44,64,84,14,36,69,133,32,0,0,0.96,0.95,0,0,0,0,1,0,0
203,3,2,0,2,3,3,0,0,0,0,0,0,0,0.79,0.84,0,1,0,0,1,0,0
204,6,12,0,18,38,56,6,9,23,33,0,0,0,0.66,0.69,0,0,0,0,1,0,1
205,10,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
206,0,0,0,53,121,202,1,1,1,1,27,0,0,0,0,0,1,0,0,1,0,1
207,18,2,0,0,0,0,2,3,4,4,0,0,0,0.96,0.97,0,0,0,0,1,0,0
208,137,8,0,0,0,0,2,19,28,46,3,0,0,0.99,0.96,0,1,0,0,1,0,0
209,53,8,0,36,82,117,14,39,80,136,22,0,0,0.99,0.99,0,0,0,0,1,0,0
210,8248,8,0,0,0,0,0,0,0,0,1,0,0,0.99,0.9,0,0,0,0,1,0,0
211,20,8,1,24,58,87,2,22,43,83,12,0,0,0.5,0.46,0,0,0,0,1,0,0
212,13,8,0,0,6,12,0,1,7,11,2,0,0,0.98,0.97,0,0,0,0,1,0,0
213,14,2,0,0,0,0,0,1,2,4,0,0,0,1,0.97,0,1,0,0,1,0,0
214,19,12,0,4,8,16,1,7,17,31,0,0,0,0.8,0.78,0,0,0,0,1,0,0
215,10,9,0,7,15,21,4,12,32,46,0,0,0,0.99,0.98,0,0,0,0,1,0,0
216,25,4,0,0,0,0,5,11,28,35,0,0,0,0.73,0.78,0,0,0,0,1,0,0
217,4970,12,0,0,0,0,0,5,5,10,3,0,0,0.94,0.87,0,0,0,0,1,0,0
218,18,8,0,0,0,0,0,0,0,0,0,0,0,0.54,0.65,0,0,0,0,1,0,0
219,0,12,0,2,2,2,0,1,1,1,0,0,0,0.77,0.73,0,0,0,0,1,0,1
220,28,8,0,0,100,100,9,21,39,78,7,0,0,0.9,0.92,0,0,0,0,1,0,0
221,2,8,0,0,0,0,0,0,0,1,0,0,0,0.85,0.89,0,0,0,0,1,0,1
222,8,8,0,0,0,0,3,6,18,24,1,0,0,0.86,0.89,0,1,0,0,1,0,0
223,-1,2,0,9,12,15,12,22,31,36,0,0,0,0.6,0.53,1,0,0,0,1,0,0
224,6,2,0,0,0,0,0,0,2,2,0,0,0,0.78,0.86,0,0,0,1,1,0,0
225,9,2,0,0,0,0,0,0,0,0,0,0,0,0.15,0.34,0,1,0,1,1,0,0
226,0,8,0,4,6,8,1,3,4,5,0,0,0,0.79,0.66,0,0,0,0,1,0,1
227,15,6,0,0,0,0,0,0,1,2,1,0,0,0.82,0.79,0,0,0,0,1,0,0
228,-15,4,0,432,504,720,121,321,571,758,60,0,0,0.55,0.66,15,0,0,0,0,0,0
229,0,8,0,0,0,0,0,0,0,0,0,0,0,0.97,0.96,0,0,0,1,1,0,0
230,464,8,457,840,1890,2835,293,1150,2321,3674,312,0,0,0.84,0.86,0,0,0,0,1,0,0
231,68,9,0,0,0,0,0,0,0,0,0,0,0,0.86,0.84,0,0,0,0,1,0,0
232,7,8,0,0,0,0,3,5,9,15,0,0,0,0.82,0.88,0,0,0,0,1,0,0
233,21,8,0,0,0,6,2,5,14,21,2,0,0,0.91,0.94,0,0,0,0,1,0,0
234,397,2,73,260,585,931,108,345,746,1236,188,0,0,0.95,0.97,0,0,0,0,1,0,0
235,6,12,0,0,0,0,0,0,1,1,2,0,0,0.77,0.73,0,0,0,0,1,0,0
236,4,2,12,20,45,65,6,29,57,86,0,0,0,0.83,0.85,0,0,0,0,1,0,0
237,3,9,0,0,0,1,1,1,2,3,2,0,0,0.7,0.66,0,0,0,0,1,0,0
238,330,5,163,240,600,1080,46,294,695,1120,131,0,0,0.69,0.69,0,0,0,0,1,0,0
239,0,8,0,13,19,25,4,7,12,21,2,0,0,1,0.93,0,0,0,0,1,0,1
240,66,2,0,0,0,0,5,12,32,119,0,0,0,0.93,0.96,0,0,0,0,1,0,0
241,67,8,0,0,0,0,0,0,0,0,0,0,0,0.95,0.97,0,0,0,0,1,0,0
242,3,8,2,9,9,9,0,3,6,9,0,0,0,0.91,0.95,0,0,0,0,1,0,0
243,109,8,0,0,0,0,4,7,15,22,0,0,0,0.93,0.92,0,0,0,0,1,0,0
244,6990,13,20,0,0,0,80,278,467,781,240,0,0,1,0.93,0,0,0,0,1,0,0
245,0,9,0,0,0,0,0,0,0,0,0,0,0,0.99,0.98,0,0,0,0,1,0,0
246,26,12,0,0,0,0,21,21,21,44,0,0,0,0,0.01,0,0,0,0,1,0,0
247,7,2,0,0,1,1,1,1,1,1,1,0,0,0.79,0.83,0,1,0,0,1,0,1
248,222,12,0,0,0,0,1,13,17,32,11,0,0,-99,0.66,0,0,0,0,1,0,0
249,65,4,63,167,309,465,44,180,321,509,47,0,0,0.96,0.85,0,0,0,0,1,0,0
250,7,8,0,0,0,1,0,0,2,7,0,0,0,0.9,0.88,0,0,0,0,1,0,0
251,1847,2,307,960,3200,5120,115,1121,4828,6698,623,0,0,0.96,0.98,0,0,0,0,1,0,0
252,55,2,0,0,0,0,3,12,19,31,2,0,0,0.99,0.98,0,0,0,1,1,0,0
253,742,8,0,0,0,0,3,3,4,10,14,0,0,0.99,0.99,0,0,0,0,1,0,0
254,0,12,0,1,1,1,0,0,0,0,0,0,0,0.94,0.87,0,0,0,1,1,0,1
255,2,8,0,0,0,0,0,0,0,0,0,0,0,0.78,0.82,0,0,0,0,1,0,0
256,5,8,0,0,0,0,0,0,0,2,0,0,0,0.82,0.91,0,0,0,0,1,0,0
257,14,8,0,0,0,0,1,1,1,1,0,0,0,0.91,0.93,0,0,0,1,1,0,0
258,73,8,25,14,58,102,6,38,78,127,35,0,0,0.02,0.03,0,0,0,1,1,0,0
259,4,8,0,4,8,10,7,7,7,13,0,0,0,0.78,0.89,0,0,0,1,1,0,0
260,0,8,0,0,15,15,0,0,0,0,0,0,0,0.99,0.96,0,0,0,0,1,0,0
261,149,8,0,0,0,0,0,0,0,0,0,0,0,0.92,0.89,0,0,0,0,1,0,0
262,40,8,0,0,0,0,0,0,0,0,0,0,0,1,0.93,0,0,0,0,1,0,0
263,26,2,0,60,90,120,19,45,123,168,2,0,0,0.93,0.96,0,0,0,0,1,0,0
264,47,8,0,0,0,0,0,0,0,0,0,0,0,0.42,0.36,0,0,0,1,1,0,0
265,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,1,0,0
266,34,5,21,101,197,309,22,65,105,123,3,0,0,0.99,0.98,0,0,0,0,1,0,0
267,5,8,0,0,0,0,0,0,0,1,1,0,0,0.68,0.49,0,0,0,1,1,0,0
268,6,8,0,0,0,0,0,0,1,1,1,0,0,0.77,0.87,0,0,0,0,1,0,0
269,3,8,0,0,0,0,1,4,6,8,1,0,0,0.36,0.29,0,0,0,0,1,0,1
270,3,9,1,2,2,2,1,2,9,12,0,0,0,0.99,0.99,0,0,0,1,1,0,0
271,0,2,0,202,202,202,0,0,0,0,0,0,0,0.94,0.87,0,0,0,1,1,0,0
272,91,9,0,36,108,180,20,77,135,213,30,0,0,0.7,0.66,0,0,0,0,1,0,0
273,39,8,0,0,0,0,0,1,4,5,0,0,0,1,1,0,1,0,0,1,0,0
274,2,8,0,0,0,0,0,0,0,0,1,0,0,0.84,0.8,0,0,0,1,1,0,0
